id,beneficiary-name,date,direction,amount,description,currency,mcc,kind
66229487,Faculty of contemporary arts,1/1/2021,d,187.20,Tuition,USD,8299,pmt
15122088,Glovo,1/1/2021,d,44.30,Food delivery,USD,5811,pmt
71233330,Glovo,1/1/2021,d,17.00,Food delivery,USD,5811,pmt
24419286,Claire Stevens,1/1/2021,c,300.10,Monthly rent,USD,,dep
31952674,Josh,1/1/2021,d,35.10,Allowance,USD,,pmt
76053069,Hertz,1/1/2021,d,11.60,Taxi,USD,7519,pmt
67251535,Book depository,1/2/2021,d,15.60,Amazon Kindle subscription,USD,,pmt
51023898,Table tenis club PingPong,1/2/2021,d,12.30,Daily pool ticket,USD,5655,pmt
19088602,Delhaize,1/3/2021,d,33.50,Supermaket shopping,USD,5499,pmt
46251212,Swimming school,1/3/2021,d,22.00,Membership,USD,,pmt
38450379,Blue moon spa,1/3/2021,d,22.50,Massage,USD,8050,pmt
40474619,Adobe,1/3/2021,d,20.10,Games,USD,5045,pmt
77280316,MetLife,1/4/2021,d,200.90,Life insurance premium,USD,6300,pmt
62511511,City parkings,1/5/2021,d,2.30,Parking fee,USD,7523,pmt
18709472,A1 Telecom,1/6/2021,d,6.90,Phone bill,USD,,pmt
56500502,National Geographic,1/6/2021,d,4.80,National Geographic,USD,5192,pmt
46134066,Revolut,1/6/2021,d,4.60,ATM withdrawal fee,USD,,fee
28670410,Wolt,1/6/2021,d,48.40,Food delivery,USD,5811,pmt
61393516,Dental Plus,1/6/2021,d,20.90,Doctor's appointment,USD,8011,pmt
31930196,Claire Stevens,1/6/2021,c,300.10,Monthly rent,USD,,dep
25661064,Swimming school,1/6/2021,d,27.10,Membership,USD,,pmt
55836439,Faculty of contemporary arts,1/7/2021,d,185.50,Tuition,USD,8299,pmt
16419247,Lidl,1/7/2021,d,33.10,Supermaket shopping,USD,5499,pmt
78624056,Lidl,1/7/2021,d,36.80,Supermaket shopping,USD,5499,pmt
70919477,Claire Stevens,1/7/2021,c,300.10,Monthly rent,USD,,dep
65912072,Raiffeisen Leasing,1/8/2021,d,450.50,Financial leasing,USD,7394,pmt
54545537,City parkings,1/8/2021,d,1.50,Parking fee,USD,7523,pmt
24839524,Pet salon Rex,1/8/2021,d,10.30,Grooming,USD,,pmt
50559764,A1 Telecom,1/9/2021,d,6.10,Phone bill,USD,,pmt
66797216,Book depository,1/9/2021,d,126.10,Books,USD,,pmt
74734869,Bank of America,1/9/2021,d,5.00,Revolut Silver subscription,USD,,fee
26744744,Lidl,1/9/2021,d,33.90,Supermaket shopping,USD,5499,pmt
38970077,Glovo,1/9/2021,d,31.30,Food delivery,USD,5811,pmt
25182041,Wolt,1/9/2021,d,24.50,Food delivery,USD,5811,pmt
17484730,Emmezeta,1/9/2021,d,41.90,Appliances,USD,5712,pmt
13743307,Heating,1/10/2021,d,63.00,Utilities payment,USD,,pmt
20670750,Revolut,1/10/2021,d,3.30,Revolut Silver subscription,USD,,fee
61550061,Delhaize,1/10/2021,d,40.70,Supermaket shopping,USD,5499,pmt
13793179,Lidl,1/10/2021,d,31.70,Supermaket shopping,USD,5499,pmt
54803074,Glovo,1/10/2021,d,47.10,Food delivery,USD,5811,pmt
62403764,Wolt,1/10/2021,d,20.20,Food delivery,USD,5811,pmt
73316470,Wolt,1/10/2021,d,21.60,Food delivery,USD,5811,pmt
45707636,Generali,1/10/2021,d,45.80,Extended health insurance,USD,,pmt
81379047,Lending Club,1/10/2021,d,33.20,Loan Payment,USD,,pmt
87991257,Glovo,1/11/2021,d,40.60,Food delivery,USD,5811,pmt
87031393,Lidl,1/11/2021,d,90.70,Supermaket shopping,USD,5200,pmt
56230289,Revolut,1/12/2021,d,3.50,ATM withdrawal fee,USD,,fee
14747494,Glovo,1/12/2021,d,18.80,Food delivery,USD,5811,pmt
66430374,Karate club,1/12/2021,d,24.40,Club membership,USD,,pmt
52979952,Revolut,1/13/2021,d,5.50,ATM withdrawal fee,USD,,fee
33062101,Lidl,1/13/2021,d,37.10,Supermaket shopping,USD,5499,pmt
35806343,Chase,1/13/2021,d,400.90,Rent pay,USD,,pmt
59160066,Office365,1/13/2021,d,18.20,TV,USD,5045,pmt
19306119,Fit and Fun,1/14/2021,d,24.40,Personal trainer,USD,,pmt
